b'-BEGIN HEADER-\r
NASA/POWER Source Native Resolution Hourly Data \r
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST\r
Location: Latitude  47.99   Longitude 139.53 \r
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 287.71 meters\r
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 \r
Parameter(s): \r
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) \r
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) \r
T2M                    MERRA-2 Temperature at 2 Meters (C) \r
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) \r
-END HEADER-\r
YEAR,MO,DY,HR,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,T2M,WS10M
2023,1,4,3,-999.0,0.0,0.0,0.0,-20.45,5.71
2023,1,4,4,-999.0,0.0,0.0,0.0,-20.6,5.6
2023,1,4,5,-999.0,0.0,0.0,0.0,-20.67,5.47
2023,1,4,6,-999.0,0.0,0.0,0.0,-20.54,5.3
2023,1,4,7,-999.0,0.0,0.0,0.0,-20.3,5.01
2023,1,4,8,0.15,49.91,238.12,80.97,-19.62,4.8
2023,1,4,9,0.14,72.91,551.32,200.23,-18.19,4.55
2023,1,4,10,0.09,102.71,630.11,287.38,-16.46,4.34
2023,1,4,11,0.1,92.82,755.53,344.1,-15.02,4.18
2023,1,4,12,0.09,121.98,621.95,323.85,-14.12,3.99
2023,1,4,13,0.1,81.46,645.52,265.83,-13.8,3.91
2023,1,4,14,0.1,94.58,346.96,154.15,-14.09,3.99
2023,1,4,15,0.15,32.91,145.34,45.15,-15.29,4.31
2023,1,4,16,-999.0,0.0,0.0,0.0,-16.87,4.57
2023,1,4,17,-999.0,0.0,0.0,0.0,-17.91,4.74
2023,1,4,18,-999.0,0.0,0.0,0.0,-18.59,4.9
2023,1,4,19,-999.0,0.0,0.0,0.0,-18.97,5.04
2023,1,4,20,-999.0,0.0,0.0,0.0,-19.13,5.17
2023,1,4,21,-999.0,0.0,0.0,0.0,-19.16,5.3
2023,1,4,22,-999.0,0.0,0.0,0.0,-19.11,5.43
2023,1,4,23,-999.0,0.0,0.0,0.0,-18.98,5.53
2023,1,5,0,-999.0,0.0,0.0,0.0,-18.96,5.64
2023,1,5,1,-999.0,0.0,0.0,0.0,-19.13,5.67
2023,1,5,2,-999.0,0.0,0.0,0.0,-19.05,5.67
2023,1,5,3,-999.0,0.0,0.0,0.0,-18.69,5.58
2023,1,5,4,-999.0,0.0,0.0,0.0,-18.32,5.51
2023,1,5,5,-999.0,0.0,0.0,0.0,-18.0,5.28
2023,1,5,6,-999.0,0.0,0.0,0.0,-17.64,5.05
2023,1,5,7,-999.0,0.0,0.0,0.0,-17.22,5.01
2023,1,5,8,0.15,45.36,264.41,80.97,-16.21,4.99
2023,1,5,9,0.14,94.96,457.66,190.27,-14.51,4.83
2023,1,5,10,0.14,76.34,745.98,297.27,-12.93,4.57
2023,1,5,11,0.15,77.7,816.52,349.9,-11.43,4.68
2023,1,5,12,0.15,94.5,716.77,334.52,-10.64,4.72
2023,1,5,13,0.14,71.67,723.76,274.95,-10.49,4.87
2023,1,5,14,0.14,89.16,407.47,157.15,-10.86,4.81
2023,1,5,15,0.15,28.67,206.32,48.7,-11.77,4.85
2023,1,5,16,-999.0,0.0,0.0,0.0,-12.8,4.95
2023,1,5,17,-999.0,0.0,0.0,0.0,-13.62,4.87
2023,1,5,18,-999.0,0.0,0.0,0.0,-14.06,4.83
2023,1,5,19,-999.0,0.0,0.0,0.0,-14.08,4.72
